Address,City,State,Zip,Tag
1339 Cambridge Court,Atlanta,GA,30319,Probate / Estate
164 Garden Lane,Decatur,GA,30030,Probate / Estate
5202 Hidden Branches Circle,Dunwoody,GA,30338,Lis Pendens
5186 Trailridge Court,Dunwoody,GA,30338,Lis Pendens
1697 Dunwoody Place,Atlanta,GA,30324,Probate / Estate
1989 Boulderview Drive,Atlanta,GA,30316,Probate / Estate
303 East College Avenue,Decatur,GA,30030,Mechanic / Materialman Lien
4990 Owens Mill Circle,Stone Mountain,GA,30083,Judgment
1730 Duren Fields Way,Lithonia,GA,30058,Judgment
3980 Dekalb Technology Parkway,Doraville,GA,30340,Lien
2242 Swift Current Drive,Decatur,GA,30035,Mechanic / Materialman Lien
1902 Cindy Drive,Decatur,GA,30032,Mechanic / Materialman Lien
2492 Jenay Court,Decatur,GA,30032,Mechanic / Materialman Lien
2319 Glendale Drive,Decatur,GA,30032,Mechanic / Materialman Lien
1463 Wembley Court,Atlanta,GA,30329,Judgment
6006 Fairfield Estates Drive,Lithonia,GA,30058,Judgment
3393 Garden Mill Lane,Ellenwood,GA,30294,Judgment
1944 Wee Kirk Road,Atlanta,GA,30316,Judgment
2676 Kings Park Circle,Decatur,GA,30034,Judgment
6305 Phillips Creek Drive,Lithonia,GA,30058,Judgment
550 East Lake Drive,Decatur,GA,30030,Judgment
2861 Joyce Avenue,Decatur,GA,30032,Judgment
4074 Seven Hills Court,Stone Mountain,GA,30083,Judgment
4003 Phylis Place,Decatur,GA,30035,Judgment
1769 Boulderview Drive,Atlanta,GA,30316,Mechanic / Materialman Lien
3715 Harvest Drive,Decatur,GA,30034,Judgment
2995 Kammeyer Lane,Chamblee,GA,30341,Judgment
713 North Superior Avenue,Decatur,GA,30033,Judgment
3991 South River Lane,Ellenwood,GA,30294,Lien
1012 Oakdale Road,Atlanta,GA,30307,Lien
1745 Cedar Walk Lane,Conley,GA,30288,Lien
1821 Cedar Walk Lane,Conley,GA,30288,Lien
4564 South River Bend,Ellenwood,GA,30294,Lien
1829 Cedar Walk Lane,Conley,GA,30288,Lien
2914 Chevelle Lane,Atlanta,GA,30317,Lien
1748 Cedar Walk Lane,Conley,GA,30288,Lien
4314 Oakleaf Cove,Decatur,GA,30034,Lien
4804 Macy Way,Ellenwood,GA,30294,Lien
2461 Meredith Walk,Ellenwood,GA,30294,Lien
2200 Parklake Drive,Atlanta,GA,30345,Notice of Commencement
3447 Leyanne Court,Decatur,GA,30034,Lien
1150 Rankin Street Unit 3L,Stone Mountain,GA,30083,Lien
3058 South Rainbow Drive,Decatur,GA,30034,Lien
6784 Ida Street,Lithonia,GA,30058,Lien
6301 Par Four Way,Lithonia,GA,30038,Lien
3520 Kensington Parc Circle,Avondale Estates,GA,30002,Lien
