Address,City,State,Zip,Tag
4301 Winters Chapel Road,Doraville,GA,30360,Tax Delinquent / Tax Sale
4705 Tara Creek Trail,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3479 Hickory Walk Lane,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3505 Linecrest Road,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
4438 Linecrest Way,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
1819 Cedar Walk Lane,Conley,GA,30288,Tax Delinquent / Tax Sale
2551 Pendergrass Court,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3556 Mosley Road,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3520 Mosley Road,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3892 Landgraf Cove,Decatur,GA,30034,Tax Delinquent / Tax Sale
3217 Deer Pause Lane,Decatur,GA,30034,Tax Delinquent / Tax Sale
3213 Deer Pause Lane,Decatur,GA,30034,Tax Delinquent / Tax Sale
3695 Micah Court,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3844 Misty Lake,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3852 Misty Lake,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3860 Misty Lake,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3104 Bouldercrest Road,Ellenwood,GA,30294,Tax Delinquent / Tax Sale
3264 Blazing Pine Knoll,Decatur,GA,30034,Tax Delinquent / Tax Sale
3516 Sleeping Fawn Knoll Unit A,Decatur,GA,30034,Tax Delinquent / Tax Sale
3446 Blazing Pine Path Unit A,Decatur,GA,30034,Tax Delinquent / Tax Sale
3599 Brycewood Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
3601 Brycewood Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
3603 Brycewood Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
3605 Brycewood Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
3607 Brycewood Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
3318 Woodstock Road,Atlanta,GA,30316,Tax Delinquent / Tax Sale
3309 Woodstock Road,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1216 Constitution Road,Atlanta,GA,30316,Tax Delinquent / Tax Sale
3091 Columbia Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
3674 Preakness Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
2816 Knollberry Lane,Decatur,GA,30034,Tax Delinquent / Tax Sale
2839 Elkhorn Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
2784 Rollingwood Lane,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2578 Boulder Road,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2789 Flagstone Drive,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2795 Flagstone Drive,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2625 Pleasant Wood Drive,Decatur,GA,30034,Tax Delinquent / Tax Sale
2305 Haverford Drive,Decatur,GA,30032,Tax Delinquent / Tax Sale
1806 Stoney Creek Drive,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1078 Moreland Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1058 Moreland Avenue REAR,Atlanta,GA,30316,Tax Delinquent / Tax Sale
0 Moreland Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1094 Moreland Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
1058 Moreland Avenue,Atlanta,GA,30316,Tax Delinquent / Tax Sale
2026 Collier Circle E,Decatur,GA,30032,Tax Delinquent / Tax Sale
2051 Candler Road,Decatur,GA,30032,Tax Delinquent / Tax Sale
